RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,REC,PTS
267,Packers D/ST D/ST,0/0,0,0,0,0,0,85
268,Buccaneers D/ST D/ST,0/0,0,0,0,0,0,84.2
269,Falcons D/ST D/ST,0/0,0,0,0,0,0,83.4
270,"Gerald Everett, LAR TE",0/0,348.7,3.3,0,0,28.8,83.3
271,"Kyle Juszczyk, SF RB",0/0,310.9,1.7,0,7.9,35.8,83
272,"Virgil Green, LAC TE",0/0,332.8,3.1,0,0,30.5,82.2
273,Chiefs D/ST D/ST,0/0,0,0,0,0,0,81.9
274,"Sam Darnold, NYJ QB",128.9/214.4,0,0,5.8,14.2,0,81.3
275,Raiders D/ST D/ST,0/0,0,0,0,0,0,81.1
276,"Luke Willson, Det TE",0/0,355.3,2.5,0,0,30.5,81
277,"Doug Martin, Oak RB",0/0,131.5,0.5,0,90.6,16.4,80.6
278,Seahawks D/ST D/ST,0/0,0,0,0,0,0,78.4
279,Browns D/ST D/ST,0/0,0,0,0,0,0,77.8
280,Bengals D/ST D/ST,0/0,0,0,0,0,0,77.6
