PLAYER,POSITION,TEAM,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,PROJ PTS,ADP,2QB RANK
Jay Ajayi,RB,Phi,0,0,0,223.9,957,5.3,21.5,166.9,0.7,169.6,51.5,68.0
Jimmy Graham,TE,GB,0,0,0,0,0,0,56.1,654.5,7.7,167.7,61.8,69.0
Rashaad Penny,RB,Sea,0,0,0,153.7,655.1,4.3,23.5,195.5,0.8,138.3,59.7,70.0
Ronald Jones,RB,TB,0,0,0,208.2,874.7,3.5,34.7,280.3,0.9,175.3,55.7,71.0
Greg Olsen,TE,Car,0,0,0,0,0,0,65.8,869.7,5.5,185.4,51.3,72.0
Alshon Jeffery,WR,Phi,0,0,0,0,0,0,59.8,883.5,7.5,193.5,53.8,73.0
Dak Prescott,QB,Dal,3678.7,21.1,13.1,55.7,306.1,3.1,0,0,0,253.2,112.9,74.0
Julian Edelman,WR,NE,0,0,0,3.7,23.2,0.1,59.6,704.7,4.1,158.6,100.8,75.0
Marvin Jones Jr.,WR,Det,0,0,0,0,0,0,61.9,988.8,7.5,205.3,51.6,76.0
Royce Freeman,RB,Den,0,0,0,235.3,994.1,6.2,35.3,283.1,0.8,203.3,44.5,77.0
Dion Lewis,RB,Ten,0,0,0,132,573.6,3.7,46.1,373.5,1.6,172.3,66.5,78.0
Evan Engram,TE,NYG,0,0,0,0,0,0,70.3,766.1,6.2,183.9,61.6,79.0
Corey Davis,WR,Ten,0,0,0,0,0,0,71.8,905.5,5.8,196.5,72.8,80.0
Sony Michel,RB,NE,0,0,0,145.7,629.8,5.3,24.7,200.8,0.8,143.1,98.5,81.0
Jameis Winston,QB,TB,3579.5,22.9,11.5,37.9,160.6,1.1,0,0,0,234.2,,82.0
Sammy Watkins,WR,KC,0,0,0,0,0,0,60.5,952.3,5.4,188.3,77.9,83.0
Mitchell Trubisky,QB,Chi,3961.2,23,12.9,63,280,2.3,0,0,0,264.1,133.0,84.0
Jordan Reed,TE,Wsh,0,0,0,0,0,0,73.2,746.6,5.6,181,86.2,85.0
Chris Hogan,WR,NE,0,0,0,5.2,32.2,0.2,61,909.7,6.8,197.2,69.0,86.0
Kyle Rudolph,TE,Min,0,0,0,0,0,0,60.4,611.9,7.1,164.3,80.4,87.0
Case Keenum,QB,Den,4086.4,22.3,12.1,40.2,144.1,1.2,0,0,0,248.2,,88.0
Marlon Mack,RB,Ind,0,0,0,158.6,638.3,4.5,30.8,255.1,1.2,154.1,102.4,89.0
Eli Manning,QB,NYG,4127.1,25.8,15,18.4,27.1,0.3,0,0,0,242,,90.0
Delanie Walker,TE,Ten,0,0,0,0,0,0,67.4,778.2,6.4,183.5,59.6,91.0
Rex Burkhead,RB,NE,0,0,0,132.5,557.6,5,31.7,272.6,1.4,152.5,90.2,92.0
Michael Crabtree,WR,Bal,0,0,0,0,0,0,77.2,827.1,5.9,195.3,69.9,93.0
Will Fuller V,WR,Hou,0,0,0,4.5,28,0.1,55.6,792.9,5.7,173.8,81.7,94.0
Tarik Cohen,RB,Chi,0,0,0,79.7,327.6,2.4,55,443.3,1.7,161,96.6,95.0
Kerryon Johnson,RB,Det,0,0,0,166.4,676.4,4.2,29.7,240.2,0.9,150.7,99.0,96.0
Robert Woods,WR,LAR,0,0,0,2.1,12.7,0.1,70.5,889.9,4.9,190.6,67.7,97.0
Marquise Goodwin,WR,SF,0,0,0,3.9,23.8,0.1,58.6,951.2,5.7,191.3,87.4,98.0
Tevin Coleman,RB,Atl,0,0,0,142.1,590.2,4.4,35.8,332.1,1.6,163.6,85.3,99.0
Carlos Hyde,RB,Cle,0,0,0,138.6,552.7,4.6,11.4,81.9,0.5,104.7,110.0,100.0
Chris Thompson,RB,Wsh,0,0,0,83.8,367.4,2.2,54.8,473.8,1.9,163.4,99.5,101.0
Emmanuel Sanders,WR,Den,0,0,0,0,0,0,69.9,908.3,5,190.9,70.6,102.0
Marshawn Lynch,RB,Oak,0,0,0,181.8,788.9,6.3,30.8,241.3,0.9,176.9,56.7,103.0
Blake Bortles,QB,Jax,3745.6,20.1,12.2,58.3,332.7,2.5,0,0,0,253,,104.0
Devin Funchess,WR,Car,0,0,0,0,0,0,61,881.6,6.2,186.5,83.2,106.0
Cooper Kupp,WR,LAR,0,0,0,0,0,0,66.5,836.2,5.9,185.1,95.6,107.0
Tyrod Taylor,QB,Cle,3005.7,19.3,6.2,72.4,414.7,2.9,0,0,0,242.3,124.5,108.0
Isaiah Crowell,RB,NYJ,0,0,0,180.8,756,4.7,29.4,229.9,0.7,160.1,83.4,109.0
Trey Burton,TE,Chi,0,0,0,0,0,0,51,564.8,4,131,119.7,110.0
Robby Anderson,WR,NYJ,0,0,0,3.9,24.2,0.1,65.4,927.9,4.4,187.4,95.4,111.0
Nick Chubb,RB,Cle,0,0,0,125.4,539.6,4.2,9.5,74.1,0.3,97,128.6,112.0
Randall Cobb,WR,GB,0,0,0,11.4,67.8,0.3,71.8,783.7,5.2,189.8,85.7,113.0
Pierre Garcon,WR,SF,0,0,0,0,0,0,72.4,931.3,4.2,190.5,81.7,115.0
Aaron Jones,RB,GB,0,0,0,116.4,515.8,3,10.7,86.5,0.5,91.4,133.9,116.0
Jamaal Williams,RB,GB,0,0,0,134.1,536.2,3.9,25.1,219.9,1.3,132,107.4,117.0
Andy Dalton,QB,Cin,4009.7,23.9,11.1,44,154.2,1.4,0,0,0,254.7,,118.0
Ryan Tannehill,QB,Mia,4151.6,22.7,14,41.3,186.1,1.4,0,0,0,254.3,,119.0
Kelvin Benjamin,WR,Buf,0,0,0,0,0,0,64.2,894.5,4.3,179.3,96.7,120.0
DeVante Parker,WR,Mia,0,0,0,0,0,0,61.7,793.4,4.7,169.3,97.9,121.0
Jamison Crowder,WR,Wsh,0,0,0,7.3,41.1,0.2,70.6,840.3,4.1,185.7,111.3,122.0
Duke Johnson Jr.,RB,Cle,0,0,0,75.7,318.6,2,59.3,541.2,1.6,166.7,78.6,124.0
C.J. Anderson,RB,Car,0,0,0,145.3,613.8,4.1,11.5,94.8,0.3,108.8,132.3,125.0
Mike Williams,WR,LAC,0,0,0,0,0,0,38.8,504.9,4.9,118.5,138.6,126.0
Jack Doyle,TE,Ind,0,0,0,0,0,0,69.1,628.5,5.8,166.9,109.3,127.0
Ty Montgomery,RB,GB,0,0,0,82.4,357,2.6,39.6,324.1,1.8,134.2,112.0,129.0
DJ Moore,WR,Car,0,0,0,0,0,0,43.1,583.4,3.5,123.4,131.7,132.0
Josh Doctson,WR,Wsh,0,0,0,0,0,0,54.9,782.5,6.2,169.8,121.4,133.0
